Order ID,Timestamp,Fill Time,B/S,Contract,filledQty,Avg Fill Price,Type,Limit Price,Stop Price,Status,Trade Duration,Gap Time,Revenge Trade,Excessive Risk,Outsized Loss,No Stop Loss
7301604731,01/02/2024 7:30:00,01/02/2024 7:30:00,Buy,MNQH4,1,21490.25,Market,21490.25,,Filled,0:06:47,,,,,
7301604733,01/02/2024 7:30:00,01/02/2024 7:36:47,Sell,MNQH4,1,21505.25,Limit,21505.25,,Filled,,0:34:18,,,,
7301604621,01/02/2024 8:11:05,01/02/2024 8:11:05,Buy,MNQH4,1,21461.25,Market,21461.25,,Filled,0:05:52,,,,,
7301604623,01/02/2024 8:11:05,01/02/2024 8:12:05,Sell,MNQH4,1,21481.5,Limit,21481.5,,Filled,,0:55:15,,,,
7301602951,01/02/2024 9:12:12,01/02/2024 9:12:12,Sell,MNQH4,1,21523,Market,21523,,Filled,0:06:06,,,,,
7301602953,01/02/2024 9:12:12,01/02/2024 9:18:18,Buy,MNQH4,1,21507.25,Limit,21507.25,,Filled,,1:59:48,,,,
7301603211,01/02/2024 11:18:06,01/02/2024 11:18:06,Sell,MNQH4,1,21506.5,Market,21506.5,,Filled,0:10:09,,,,,
7301603213,01/02/2024 11:18:06,01/02/2024 11:21:06,Buy,MNQH4,1,21482,Limit,21482,,Filled,,0:14:31,,,,
7301605101,01/02/2024 11:42:46,01/02/2024 11:42:46,Buy,MNQH4,1,21496.5,Market,21496.5,,Filled,0:01:49,,,,,
7301605103,01/02/2024 11:42:46,01/02/2024 11:44:35,Sell,MNQH4,1,21516,Limit,21516,,Filled,,1:17:09,,,,
7301604861,01/03/2024 7:30:00,01/03/2024 7:30:00,Sell,MNQH4,1,21498,Market,21498,,Filled,0:07:17,,,,,
7301604863,01/03/2024 7:30:00,01/03/2024 7:37:17,Buy,MNQH4,1,21479.75,Limit,21479.75,,Filled,,0:21:21,,,,
7301603951,01/03/2024 7:58:38,01/03/2024 7:58:38,Buy,MNQH4,1,21387,Market,21387,,Filled,0:01:11,,,,,
7301603953,01/03/2024 7:58:38,01/03/2024 7:59:58,Sell,MNQH4,1,21410,Limit,21410,,Filled,,1:52:56,,,,
